所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,正常,1024,1024,0.770390625,0.795,0.4164448798779252,0.015,1.5,1.485,0.9807276921125139,1024,-0.9310400390625,-1.005,0.4220415602185514,-1.5,-0.015,1.485,0.9939078743146885
24B-110TC2_20241024,+-1v,-1v~1v,正常,1837,1836,0.47486928104575166,0.46,0.27743479350491035,0.01,1.0,0.99,0.6533589387040639,1834,-0.6581624863685932,-0.7,0.27916435545930335,-1.0,-0.01,0.99,0.6574320571066594
24B-110TC2_20241024,+-2.5v,-2.5v~2.5v,正常,2049,2048,1.2689453125,1.325,0.7240579081537879,0.025,2.5,2.475,1.7051563737021704,2048,-1.75238037109375,-1.8,0.6205516915622666,-2.5,-0.025,2.475,1.461399233629138
24B-110TC2_20241024,+-2v,-2v~2v,正常,2049,2048,0.99892578125,1.0,0.5698443966591965,0.02,2.0,1.98,1.3419835541324077,2048,-1.3216796875,-1.36,0.5397912630429911,-2.0,-0.02,1.98,1.271208424466244
24B-110TC2_20241024,+-3v,-3v~3v,正常,2049,2048,1.5324609374999998,1.56,0.8327904948087312,0.03,3.0,2.97,1.961221615274562,2047,-2.130014655593551,-2.25,0.7645569700741214,-3.0,-0.03,2.97,1.800531664524556
24B-W005-177TC2_20241018,+-1.5v,-1.5v~1.5v,正常,1024,1024,0.7332568359374999,0.705,0.47670311379516117,0.015,1.5,1.485,1.1226358329876045,1024,-0.7199267578124999,-0.66,0.476632472343127,-1.5,-0.015,1.485,1.1224694723680642
24B-W005-177TC2_20241018,+-1v,-1v~1v,正常,1025,1024,0.482373046875,0.48,0.30215442359016736,0.01,1.0,0.99,0.7115736675548442,1024,-0.477119140625,-0.425,0.3018460656944427,-1.0,-0.01,0.99,0.7108474847104126
24B-W005-177TC2_20241018,+-2.5v,-2.5v~2.5v,正常,1025,1024,1.1515380859375,1.1,0.7220471619775891,0.025,2.5,2.475,1.7004210664572224,1023,-1.3235826001955036,-1.375,0.76482362724542,-2.5,-0.025,2.475,1.801159642162964
24B-W005-177TC2_20241018,+-2v,-2v~2v,正常,1025,1024,0.9316601562500001,0.9,0.6005155635508855,0.02,2.0,1.98,1.4142141521623355,1023,-0.980078201368524,-0.96,0.6241405783867396,-2.0,-0.02,1.98,1.4698510621007719
24B-W005-177TC2_20241018,+-3.3v,-3.3v~3.3v,正常,1025,1024,1.52019140625,1.419,0.9747816791859667,0.033,3.3,3.267,2.2956108544829514,1023,-1.908838709677419,-2.046,0.9908246433955795,-3.3,-0.033,3.267,2.3333920351965896
