所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L00.txt,正常,0.465,-1.47,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L01.txt,正常,0.015,-0.915,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L02.txt,正常,1.275,-1.47,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L03.txt,正常,1.29,-1.455,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L04.txt,正常,0.255,-1.47,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L05.txt,正常,0.945,-0.405,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L06.txt,正常,0.75,-0.57,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L07.txt,正常,0.51,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L08.txt,正常,0.6,-1.47,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L09.txt,正常,0.93,-0.84,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L10.txt,正常,1.08,-0.33,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L11.txt,正常,0.825,-1.335,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L12.txt,正常,1.485,-1.17,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L13.txt,正常,0.63,-0.015,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L14.txt,正常,0.225,-0.36,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_L15.txt,正常,1.245,-1.095,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R00.txt,正常,1.395,-0.315,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R01.txt,正常,0.51,-1.215,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R02.txt,正常,0.84,-0.99,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R03.txt,正常,0.915,-1.5,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R04.txt,正常,1.08,-1.47,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R05.txt,正常,0.015,-0.825,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R06.txt,正常,1.32,-0.21,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R07.txt,正常,0.675,-0.72,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R08.txt,正常,0.645,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R09.txt,正常,0.195,-0.57,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R10.txt,正常,0.15,-0.615,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00000_BL_R11.txt,正常,1.05,-0.645,404
