项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,无数据数量,无数据百分比,其他数量,其他百分比,总器件数
24B-110TC2_20241024,正常,+-1.5v,-1.5v~1.5v,28,2.7%,0,0.0%,3,0.3%,993,97.0%,0,0.0%,0,0.0%,1024
24B-110TC2_20241024,正常,+-1v,-1v~1v,3,0.3%,0,0.0%,1,0.1%,1020,99.6%,0,0.0%,0,0.0%,1024
24B-110TC2_20241024,正常,+-2.5v,-2.5v~2.5v,0,0.0%,0,0.0%,7,0.7%,1017,99.3%,0,0.0%,0,0.0%,1024
24B-110TC2_20241024,正常,+-2v,-2v~2v,0,0.0%,0,0.0%,8,0.8%,1016,99.2%,0,0.0%,0,0.0%,1024
24B-110TC2_20241024,正常,+-3v,-3v~3v,0,0.0%,0,0.0%,12,1.2%,1012,98.8%,0,0.0%,0,0.0%,1024
24B-112TC2,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W001_155TC2_20240909,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W001_157TC2_20240918,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W003_167TC2_20240920,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W004_172TC2_20240923,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W005-177TC2_20241018,正常,+-1.5v,-1.5v~1.5v,0,0.0%,32,3.1%,2,0.2%,990,96.7%,0,0.0%,0,0.0%,1024
24B-W005-177TC2_20241018,正常,+-1v,-1v~1v,9,0.9%,32,3.1%,3,0.3%,980,95.7%,0,0.0%,0,0.0%,1024
24B-W005-177TC2_20241018,正常,+-2.5v,-2.5v~2.5v,0,0.0%,32,3.1%,5,0.5%,987,96.4%,0,0.0%,0,0.0%,1024
24B-W005-177TC2_20241018,正常,+-2v,-2v~2v,0,0.0%,32,3.1%,3,0.3%,989,96.6%,0,0.0%,0,0.0%,1024
24B-W005-177TC2_20241018,正常,+-3.3v,-3.3v~3.3v,0,0.0%,32,3.1%,22,2.1%,970,94.7%,0,0.0%,0,0.0%,1024
24B-W005-177TC2_20241018,正常,+-3v,-3v~3v,0,0.0%,32,3.1%,11,1.1%,981,95.8%,0,0.0%,0,0.0%,1024
24B-W005_175-TC2_20241009,BEOL,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W007-185TC2-20250908-D23,正常,5_np3v,-3v~3v,4,1.0%,0,0.0%,0,0.0%,381,99.0%,0,0.0%,0,0.0%,385
24B-W008-188TC2-20251011-D22,正常,5_np3v,-3v~3v,17,1.8%,0,0.0%,0,0.0%,931,98.2%,0,0.0%,0,0.0%,948
24B-W008-188TC2-20251011-D22,正常,6_np3.3v,-3.3v~3.3v,1,0.8%,0,0.0%,0,0.0%,122,99.2%,0,0.0%,0,0.0%,123
24B-W008-192TC2-20250916-D22,空文件夹,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W009-195TC2-20241101,正常,+-1.5v,-1.5v~1.5v,1,0.1%,91,8.9%,0,0.0%,932,91.0%,0,0.0%,0,0.0%,1024
24B-W009-195TC2-20241101,正常,+-1v,-1v~1v,1,0.1%,95,9.3%,0,0.0%,928,90.6%,0,0.0%,0,0.0%,1024
