项目,父路径,时间,WN,WP,RHigh,RLow,Interval,组内总行数,涉及PT_Row文件夹数,涉及PT_Row文件夹(部分),RL_原始数据点数,RL_过滤后点数,RL_中位数,RL_项目总中位数,RL_MAD,RL_下限,RL_上限,RL_Pass,RH_原始数据点数,RH_过滤后点数,RH_中位数,RH_项目总中位数,RH_MAD,RH_下限,RH_上限,RH_Pass
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\17_5ns -2.5~2 row22,5ns,2.5,2.0,0.5,0.5,10.0,2432000,1,PT_Row22_5nsWN2.5WP2.0-RHigh0.5-RLow0.5x10,2432000,2334720,1319.0,1339.0,202.0,733.0,1945.0,True,2432000,2334720,2058.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\19_row7 10ns,10ns,2.7,1.5,0.5,0.5,10.0,3200,1,PT_Row7_10nsWN2.7WP1.5-RHigh0.5-RLow0.5x10,3200,3072,1158.0,1339.0,202.0,733.0,1945.0,True,3200,3072,2302.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\19_row7 10ns,1us,2.7,1.5,0.5,0.5,1.0,32,1,PT_Row7_1usWN2.7WP1.5-RHigh0.5-RLow0.5x1,32,31,1137.0,1339.0,202.0,733.0,1945.0,True,32,31,2266.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\4_500ns_loop1000  28,500ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row30_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row19_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row16_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row10_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row13_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row24_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row3_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row20_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row21_500nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row12_500nsWN2.5WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1418.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2098.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\5_100ns_loop1000  30,100ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row10_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row14_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row7_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row2_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row15_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row29_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row25_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row23_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row3_100nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row24_100nsWN2.5WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1416.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2101.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\6_10ns_loop1000  33,10ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row22_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row6_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row20_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row30_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row18_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row13_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row21_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row12_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row24_10nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row3_10nsWN2.5WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1417.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2098.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\3_n2.5p2v\7_5ns_loop1000  39,5ns,2.5,2.0,0.5,0.5,10.0,102400,32,PT_Row3_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row2_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row12_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row28_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row14_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row9_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row1_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row6_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row30_5nsWN2.5WP2.0RN0.5RP0.5x10; PT_Row7_5nsWN2.5WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1418.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2099.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\4_n3p2\2_500ns_loop1000  19,500ns,3.0,2.0,0.5,0.5,10.0,102400,32,PT_Row29_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row12_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row9_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row24_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row26_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row7_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row20_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row18_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row19_500nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row25_500nsWN3.0WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1417.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2171.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\4_n3p2\3_100ns_loop1000  20,100ns,3.0,2.0,0.5,0.5,10.0,102400,32,PT_Row30_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row14_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row3_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row17_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row27_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row0_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row6_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row9_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row4_100nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row31_100nsWN3.0WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1426.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2175.0,2065.0,235.0,1360.0,2770.0,True
25BW062-366TC3-D33,E:\OneDrive\LoMaRe Technologies Ltd\LoMaRe Technologies Ltd - all hands-Technical - CMOS-BEOL testing - 文档\Technical - CMOS-BEOL testing\Test Results AMS\Raw Data\TC3\25BW062-366TC3-D33\4_speed\4_n3p2\4_10ns_loop1000  17,10ns,3.0,2.0,0.5,0.5,10.0,102400,32,PT_Row8_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row17_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row19_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row11_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row12_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row26_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row24_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row4_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row6_10nsWN3.0WP2.0RN0.5RP0.5x10; PT_Row2_10nsWN3.0WP2.0RN0.5RP0.5x10... 等共32个,102400,98304,1424.0,1339.0,202.0,733.0,1945.0,True,102400,98304,2165.0,2065.0,235.0,1360.0,2770.0,True
